device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin
samsung-s24-ultra,llama3.2-1b-q4km,770,20,0,0,20,,,256,4,90,0,0,42.8,42.4,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,error,1041,,False,2026-05-24T15:54:27Z,2026-05-24T15:54:28Z
P02,error,1060,,False,2026-05-24T15:54:58Z,2026-05-24T15:55:00Z
P03,error,1037,,False,2026-05-24T15:55:30Z,2026-05-24T15:55:31Z
P04,error,1030,,False,2026-05-24T15:56:01Z,2026-05-24T15:56:02Z
P05,error,1051,,False,2026-05-24T15:56:33Z,2026-05-24T15:56:34Z
P06,error,1036,,False,2026-05-24T15:57:04Z,2026-05-24T15:57:05Z
P07,error,1081,,False,2026-05-24T15:57:36Z,2026-05-24T15:57:37Z
P08,error,1046,,False,2026-05-24T15:58:07Z,2026-05-24T15:58:08Z
P09,error,1058,,False,2026-05-24T15:58:39Z,2026-05-24T15:58:40Z
P10,error,1027,,False,2026-05-24T15:59:10Z,2026-05-24T15:59:11Z
P11,error,1028,,False,2026-05-24T15:59:42Z,2026-05-24T15:59:43Z
P12,error,1009,,False,2026-05-24T16:00:13Z,2026-05-24T16:00:14Z
P13,error,1020,,False,2026-05-24T16:00:44Z,2026-05-24T16:00:45Z
P14,error,1019,,False,2026-05-24T16:01:16Z,2026-05-24T16:01:17Z
P15,error,1009,,False,2026-05-24T16:01:47Z,2026-05-24T16:01:48Z
P16,error,1049,,False,2026-05-24T16:02:19Z,2026-05-24T16:02:20Z
P17,error,1047,,False,2026-05-24T16:02:50Z,2026-05-24T16:02:51Z
P18,error,1054,,False,2026-05-24T16:03:21Z,2026-05-24T16:03:23Z
P19,error,1039,,False,2026-05-24T16:03:53Z,2026-05-24T16:03:54Z
P20,error,1040,,False,2026-05-24T16:04:24Z,2026-05-24T16:04:25Z
