device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin
samsung-s24-ultra,phi3-mini-q4km,2282,20,20,0,0,53165,6.57,256,4,90,20,13,49.1,29.8,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,49758,6.84,False,2026-05-24T16:48:14Z,2026-05-24T16:49:04Z
P02,ok,45272,7.18,False,2026-05-24T16:50:34Z,2026-05-24T16:51:20Z
P03,ok,11069,0.0,False,2026-05-24T16:52:50Z,2026-05-24T16:53:01Z
P04,ok,53307,6.37,False,2026-05-24T16:53:32Z,2026-05-24T16:54:25Z
P05,ok,55142,6.02,False,2026-05-24T16:55:55Z,2026-05-24T16:56:51Z
P06,ok,53906,6.01,False,2026-05-24T16:58:21Z,2026-05-24T16:59:15Z
P07,ok,45182,6.93,False,2026-05-24T17:00:45Z,2026-05-24T17:01:31Z
P08,ok,11327,8.28,False,2026-05-24T17:03:01Z,2026-05-24T17:03:12Z
P09,ok,11542,0.0,False,2026-05-24T17:04:43Z,2026-05-24T17:04:54Z
P10,ok,12107,0.0,False,2026-05-24T17:06:25Z,2026-05-24T17:06:37Z
P11,ok,60947,6.12,False,2026-05-24T17:07:07Z,2026-05-24T17:08:08Z
P12,ok,11973,0.0,False,2026-05-24T17:09:39Z,2026-05-24T17:09:51Z
P13,ok,13637,0.0,False,2026-05-24T17:11:21Z,2026-05-24T17:11:35Z
P14,ok,53165,6.57,False,2026-05-24T17:13:05Z,2026-05-24T17:13:59Z
P15,ok,61046,5.61,False,2026-05-24T17:14:29Z,2026-05-24T17:15:30Z
P16,ok,180455,0.0,False,2026-05-24T17:19:53Z,2026-05-24T17:22:54Z
P17,ok,316386,0.0,False,2026-05-24T17:23:24Z,2026-05-24T17:28:41Z
P18,ok,290892,0.0,False,2026-05-24T17:29:45Z,2026-05-24T17:34:36Z
P19,ok,18638,8.05,False,2026-05-24T17:36:12Z,2026-05-24T17:36:31Z
P20,ok,995248,0.0,False,2026-05-24T17:37:01Z,2026-05-24T17:53:37Z
