device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin
samsung-s24-ultra,qwen2.5-0.5b-q4km,468,20,20,0,0,7869,47.33,256,4,90,20,18,42.8,42.8,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,7818,46.54,False,2026-05-24T15:08:05Z,2026-05-24T15:08:13Z
P02,ok,7419,47.79,False,2026-05-24T15:09:43Z,2026-05-24T15:09:51Z
P03,ok,7697,46.91,False,2026-05-24T15:11:21Z,2026-05-24T15:11:29Z
P04,ok,7710,47.95,False,2026-05-24T15:12:59Z,2026-05-24T15:13:07Z
P05,ok,7699,48.57,False,2026-05-24T15:14:37Z,2026-05-24T15:14:45Z
P06,ok,7620,47.33,False,2026-05-24T15:16:16Z,2026-05-24T15:16:23Z
P07,ok,8160,43.0,False,2026-05-24T15:17:54Z,2026-05-24T15:18:02Z
P08,ok,8187,44.55,False,2026-05-24T15:19:32Z,2026-05-24T15:19:40Z
P09,ok,8516,41.85,False,2026-05-24T15:20:11Z,2026-05-24T15:20:19Z
P10,ok,8257,44.59,False,2026-05-24T15:21:50Z,2026-05-24T15:21:58Z
P11,ok,9222,42.73,False,2026-05-24T15:22:28Z,2026-05-24T15:22:38Z
P12,ok,7970,45.87,False,2026-05-24T15:24:08Z,2026-05-24T15:24:16Z
P13,ok,7541,49.11,False,2026-05-24T15:25:46Z,2026-05-24T15:25:54Z
P14,ok,7869,48.15,False,2026-05-24T15:27:24Z,2026-05-24T15:27:32Z
P15,ok,7709,49.25,False,2026-05-24T15:29:03Z,2026-05-24T15:29:10Z
P16,ok,7607,48.78,False,2026-05-24T15:30:41Z,2026-05-24T15:30:48Z
P17,ok,7919,45.7,False,2026-05-24T15:32:19Z,2026-05-24T15:32:27Z
P18,ok,7225,48.96,False,2026-05-24T15:33:57Z,2026-05-24T15:34:05Z
P19,ok,8078,47.56,False,2026-05-24T15:35:35Z,2026-05-24T15:35:43Z
P20,ok,8221,46.39,False,2026-05-24T15:37:14Z,2026-05-24T15:37:22Z
