device_label,model_id,model_mb,prompts,success,fail,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,llama_bin
samsung-s24-ultra,qwen2.5-1.5b-q4km,1065,20,0,20,,,256,8,/data/data/com.termux/files/home/llama.cpp/build/bin/llava-cli

prompt_id,success,duration_ms,tokens_per_sec
P01,False,48,
P02,False,49,
P03,False,46,
P04,False,59,
P05,False,41,
P06,False,50,
P07,False,48,
P08,False,51,
P09,False,43,
P10,False,56,
P11,False,47,
P12,False,62,
P13,False,49,
P14,False,43,
P15,False,45,
P16,False,49,
P17,False,51,
P18,False,57,
P19,False,46,
P20,False,44,
