device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin,profile,benchmark_mode
samsung-s24-ultra,qwen2.5-1.5b-q4km,1065,20,20,0,0,37060,16.82,512,4,180,20,17,38.1,44.0,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli,quality,real_world

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,54288,11.58,False,2026-05-25T14:47:17Z,2026-05-25T14:48:11Z
P02,ok,42330,17.94,False,2026-05-25T14:51:17Z,2026-05-25T14:51:59Z
P03,ok,160910,17.33,False,2026-05-25T14:55:51Z,2026-05-25T14:58:32Z
P04,ok,215193,5.54,False,2026-05-25T15:01:54Z,2026-05-25T15:05:30Z
P05,ok,60317,9.3,False,2026-05-25T15:07:00Z,2026-05-25T15:08:00Z
P06,ok,35142,17.05,False,2026-05-25T15:09:31Z,2026-05-25T15:10:06Z
P07,ok,33014,17.47,False,2026-05-25T15:11:37Z,2026-05-25T15:12:10Z
P08,ok,34286,17.09,False,2026-05-25T15:13:40Z,2026-05-25T15:14:14Z
P09,ok,34349,17.21,False,2026-05-25T15:15:45Z,2026-05-25T15:16:19Z
P10,ok,34859,17.06,False,2026-05-25T15:17:50Z,2026-05-25T15:18:24Z
P11,ok,37586,16.67,False,2026-05-25T15:19:55Z,2026-05-25T15:20:33Z
P12,ok,35986,16.54,False,2026-05-25T15:22:03Z,2026-05-25T15:22:39Z
P13,ok,34823,17.21,False,2026-05-25T15:24:10Z,2026-05-25T15:24:44Z
P14,ok,36085,16.82,False,2026-05-25T15:26:15Z,2026-05-25T15:26:51Z
P15,ok,35921,16.85,False,2026-05-25T15:28:21Z,2026-05-25T15:28:57Z
P16,ok,35514,16.81,False,2026-05-25T15:30:28Z,2026-05-25T15:31:03Z
P17,ok,37060,15.92,False,2026-05-25T15:32:34Z,2026-05-25T15:33:11Z
P18,ok,42627,13.69,False,2026-05-25T15:33:41Z,2026-05-25T15:34:24Z
P19,ok,40066,15.13,False,2026-05-25T15:34:54Z,2026-05-25T15:35:34Z
P20,ok,38404,15.94,False,2026-05-25T15:37:05Z,2026-05-25T15:37:43Z
