device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin
samsung-s24-ultra,tinyllama-1.1b-q4km,637,20,20,0,0,3304,28.89,256,4,90,20,6,53.8,41.2,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,3292,0.0,False,2026-05-24T13:53:20Z,2026-05-24T13:53:23Z
P02,ok,2572,0.0,False,2026-05-24T13:54:54Z,2026-05-24T13:54:56Z
P03,ok,2943,0.0,False,2026-05-24T13:55:26Z,2026-05-24T13:55:29Z
P04,ok,12267,29.02,False,2026-05-24T13:57:00Z,2026-05-24T13:57:12Z
P05,ok,3322,0.0,False,2026-05-24T13:58:42Z,2026-05-24T13:58:46Z
P06,ok,6386,28.89,False,2026-05-24T14:00:16Z,2026-05-24T14:00:22Z
P07,ok,2219,0.0,False,2026-05-24T14:01:53Z,2026-05-24T14:01:55Z
P08,ok,2826,0.0,False,2026-05-24T14:02:25Z,2026-05-24T14:02:28Z
P09,ok,3158,0.0,False,2026-05-24T14:02:58Z,2026-05-24T14:03:02Z
P10,ok,3296,0.0,False,2026-05-24T14:03:32Z,2026-05-24T14:03:35Z
P11,ok,5100,0.0,False,2026-05-24T14:04:06Z,2026-05-24T14:04:11Z
P12,ok,3304,0.0,False,2026-05-24T14:04:41Z,2026-05-24T14:04:44Z
P13,ok,12574,27.87,False,2026-05-24T14:05:15Z,2026-05-24T14:05:27Z
P14,ok,3820,0.0,False,2026-05-24T14:06:58Z,2026-05-24T14:07:02Z
P15,ok,3851,0.0,False,2026-05-24T14:07:32Z,2026-05-24T14:07:36Z
P16,ok,3297,0.0,False,2026-05-24T14:08:06Z,2026-05-24T14:08:10Z
P17,ok,3229,0.0,False,2026-05-24T14:08:40Z,2026-05-24T14:08:43Z
P18,ok,2492,0.0,False,2026-05-24T14:09:14Z,2026-05-24T14:09:16Z
P19,ok,4424,0.0,False,2026-05-24T14:09:46Z,2026-05-24T14:09:51Z
P20,ok,4408,0.0,False,2026-05-24T14:10:21Z,2026-05-24T14:10:26Z
