device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin,profile,benchmark_mode
samsung-s24-ultra,tinyllama-1.1b-q4km,637,20,20,0,0,4235,26.19,512,4,180,20,1,45.5,48.3,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli,quality,real_world

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,3897,0.0,False,2026-05-25T16:10:46Z,2026-05-25T16:10:50Z
P02,ok,9541,0.0,False,2026-05-25T16:11:21Z,2026-05-25T16:11:31Z
P03,ok,3595,0.0,False,2026-05-25T16:12:01Z,2026-05-25T16:12:05Z
P04,ok,4142,0.0,False,2026-05-25T16:12:36Z,2026-05-25T16:12:40Z
P05,ok,4122,0.0,False,2026-05-25T16:13:11Z,2026-05-25T16:13:15Z
P06,ok,22768,26.19,False,2026-05-25T16:13:46Z,2026-05-25T16:14:09Z
P07,ok,10885,0.0,False,2026-05-25T16:15:40Z,2026-05-25T16:15:51Z
P08,ok,11515,0.0,False,2026-05-25T16:16:22Z,2026-05-25T16:16:33Z
P09,ok,3603,0.0,False,2026-05-25T16:17:04Z,2026-05-25T16:17:08Z
P10,ok,4083,0.0,False,2026-05-25T16:17:39Z,2026-05-25T16:17:43Z
P11,ok,6006,0.0,False,2026-05-25T16:18:14Z,2026-05-25T16:18:20Z
P12,ok,4235,0.0,False,2026-05-25T16:18:51Z,2026-05-25T16:18:55Z
P13,ok,4155,0.0,False,2026-05-25T16:19:26Z,2026-05-25T16:19:31Z
P14,ok,4705,0.0,False,2026-05-25T16:20:01Z,2026-05-25T16:20:06Z
P15,ok,4894,0.0,False,2026-05-25T16:20:37Z,2026-05-25T16:20:42Z
P16,ok,4209,0.0,False,2026-05-25T16:21:13Z,2026-05-25T16:21:17Z
P17,ok,4025,0.0,False,2026-05-25T16:21:48Z,2026-05-25T16:21:52Z
P18,ok,3147,0.0,False,2026-05-25T16:22:23Z,2026-05-25T16:22:26Z
P19,ok,5055,0.0,False,2026-05-25T16:22:57Z,2026-05-25T16:23:02Z
P20,ok,4956,0.0,False,2026-05-25T16:23:33Z,2026-05-25T16:23:38Z
